Time,Time Code,Country Name,Country Code,Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Travel services (% of service exports, BoP) [BX.GSR.TRVL.ZS]","Travel services (% of service imports, BoP) [BM.GSR.TRVL.ZS]","Transport services (% of service exports, BoP) [BX.GSR.TRAN.ZS]","Transport services (% of service imports, BoP) [BM.GSR.TRAN.ZS]",Trade in services (% of GDP) [BG.GSR.NFSV.GD.ZS]
1990,YR1990,Afghanistan,AFG,..,..,..,..,..,..,..,..,..
1990,YR1990,Argentina,ARG,3.22031448392387,1.29887904052817,0.0246921335659172,0.0161581685623613,36.9174161896975,37.5320512820513,47.2608340147179,30.0320512820513,3.93766924813715
1990,YR1990,Australia,AUS,-4.98758923362716,2.7158702183335,0.203287234437252,0.760895211138912,40.921798686877,29.7916638203279,33.585195855591,33.5926252026927,7.87178192844598
1990,YR1990,Bangladesh,BGD,-1.25927364158709,0.0102498457488284,0.00158236156610063,2.46489398309466,4.83603112162768,11.1341095874671,9.77582276606933,56.2467142780581,3.45593914293969
1990,YR1990,Belgium,BEL,..,3.91889227083561,3.07523802968048,1.74504806529481,..,..,..,..,..
1990,YR1990,India,IND,-2.19193586906134,0.0737400205365026,0.00186928101406488,0.742646650962366,33.6953918457819,6.4562490533793,20.7447902970952,56.1315810985902,3.33804100683153
1990,YR1990,Indonesia,IDN,-2.81513051122,1.02976494269192,-0.0103635996062316,0.156396139512222,86.5353697749196,13.8044914134742,2.81350482315113,46.1476221928666,8.04969045778569
1990,YR1990,Ireland,IRL,..,1.26133865345752,0.738017103168361,0.579393346247381,..,..,..,..,..
1990,YR1990,Japan,JPN,..,0.0566884198465378,1.59373585096663,..,..,..,..,..,..
1990,YR1990,Malaysia,MYS,-1.97596593915066,5.29807441993266,0.293018092726799,0.420722033817905,43.6386280896723,26.4442197505897,31.0404292009963,46.154364678126,21.2233689673416
1990,YR1990,Maldives,MDV,4.58227775785015,2.60411859208412,0,0.790536023489411,87.7349159248269,39.5166592158203,9.76261127596439,51.726404922818,64.6970013144443
1990,YR1990,Pakistan,PAK,-4.15244201309876,0.612997661913938,0.00486943840835003,5.01436068130985,10.2565932074398,20.772861360258,50.5109668650753,60.1957580116921,8.75310428519107
1990,YR1990,United Kingdom,GBR,-3.55031184555805,3.78380567982468,2.55984960218268,0.192015501781238,27.6281030838792,37.6354521275514,24.0620927054017,30.4232523803642,9.6196086350861
1990,YR1990,United States,USA,-1.32399955459737,1.19450410722934,1.00517445159802,0.0196205223284898,34.0862978493169,32.3786861561995,25.388881374273,30.4750573638141,4.45285238793496
1998,YR1998,Afghanistan,AFG,..,..,..,..,..,..,..,..,..
1998,YR1998,Argentina,ARG,-4.8443160454196,2.43876896154487,0.777886139156192,0.0229136648232595,62.4021412658893,45.6498823135867,24.1764974046204,30.0962027290345,4.72118070582919
1998,YR1998,Australia,AUS,-4.44875288739197,1.90095000193573,1.16761226669834,0.125498463227455,47.0373786870886,32.0094114821087,24.0841995899643,34.3317570276475,8.96018326325474
1998,YR1998,Bangladesh,BGD,-0.0703537046583936,0.380236166897956,0.00600617572182154,3.2125653790456,7.23030532137841,12.179656822769,12.7339150262805,68.2522554225896,3.92877381011118
1998,YR1998,Belgium,BEL,..,8.77679407696031,11.1575001955561,1.6262051495013,..,..,..,..,..
1998,YR1998,India,IND,-1.63832533358649,0.625286204187866,0.0112953313643807,2.24973791761798,25.2200635231966,11.7815211851047,15.1657042292926,48.7842277206729,6.22545415561255
1998,YR1998,Indonesia,IDN,4.29246398762731,-0.252290447660406,0.0460995834595427,1.00389177007795,94.9988836793927,17.384454482671,0.133958472873409,31.0636676356991,17.3577626640676
1998,YR1998,Ireland,IRL,..,9.82513843427325,4.32902683954125,0.303399862759129,..,..,..,..,..
1998,YR1998,Japan,JPN,2.79831344439407,0.0612933042415228,0.483244007697163,0.0135117034274042,5.97195193711872,25.5447530904243,33.9108552782247,23.5116993523241,4.28065037759896
1998,YR1998,Malaysia,MYS,13.2035212438437,2.99775085201457,1.19582916435711,0.262700428021064,20.6699707938757,13.5963039173817,19.7185591645279,31.1449314749388,34.1475247230069
1998,YR1998,Maldives,MDV,-4.04791854699075,2.13257608728799,0,0.453622725645156,91.4527933580874,42.6158804132073,6.71760997156321,46.6186581612493,79.6473708420247
1998,YR1998,Pakistan,PAK,-3.61461538001894,0.813610045502484,0.0803962495555814,1.88448808958283,6.40176600441501,16.5124884366327,52.6122148638705,64.477335800185,5.66150389370405
1998,YR1998,United Kingdom,GBR,-0.318861634089026,6.64074193589353,9.55283410132241,0.0841746534798497,21.0391336325408,37.8844698498093,16.9470355202334,25.8800915107664,12.1482160379377
1998,YR1998,United States,USA,-2.37273875749317,2.32984922894518,1.92831849988377,0.0268900903193909,32.3484303584545,32.3512807456441,17.4884974140588,28.1454094622418,4.89299233545411
1999,YR1999,Afghanistan,AFG,..,..,..,..,..,..,..,..,..
1999,YR1999,Argentina,ARG,-4.21229506178187,8.46058217133806,0.610279589310215,0.0226789361004222,61.5328268005954,47.6677129080624,23.5416836584493,27.5424311095599,4.76483230820728
1999,YR1999,Australia,AUS,-5.59363165883695,0.567408043229212,0.0799084204172389,0.136483871333733,49.2677760848004,32.1637528632619,22.8898139653657,33.3191308876567,9.75393968880203
